Name,Country,IATA Code,Latitude,Longitude
SAN ANDRES ISLAND,COLOMBIA,ADZ,12.58362,-81.71111
AMSTERDAM,NETHERLANDS,AMS,52.31028,4.76028
ASUNCION,PARAGUAY,ASU,-25.23972,-57.51916
ATLANTA,UNITED STATES OF AMERICA,ATL,33.64112,-84.42277
ARUBA,ARUBA,AUA,12.50389,-70.00777
BARRANQUILLA,COLOMBIA,BAQ,10.88973,-74.78083
BUCARAMANGA,COLOMBIA,BGA,7.12639,-73.18472
BRIDGETOWN,BARBADOS,BGI,13.07473,-59.4925
BELO HORIZONTE,BRAZIL,BHZ,-19.92083,-43.93777
BOGOTA,COLOMBIA,BOG,4.70167,-74.14694
BOSTON,UNITED STATES OF AMERICA,BOS,42.36528,-71.01777
BRASILIA,BRAZIL,BSB,-15.87111,-47.91861
BUENOS AIRES,ARGENTINA,BUE,-34.61305,-58.37722
BELIZE CITY,BELIZE,BZE,17.53917,-88.30833
CARACAS,VENEZUELA,CCS,10.60056,-66.99805
CHICAGO,UNITED STATES OF AMERICA,CHI,41.85,-87.65
CHICLAYO,PERU,CIX,-6.78638,-79.82777
CALI,COLOMBIA,CLO,3.54334,-76.38166
CORDOBA,ARGENTINA,COR,-31.32361,-64.20805
CARTAGENA,COLOMBIA,CTG,10.4425,-75.51305
CANCUN,MEXICO,CUN,21.03667,-86.87694
CURACAO,CURACAO,CUR,12.18889,-68.95972
DAVID,PANAMA,DAV,8.39112,-82.435
DENVER,UNITED STATES OF AMERICA,DEN,39.86167,-104.6731
FT LAUDERDALE,UNITED STATES OF AMERICA,FLL,26.07147,-80.144
FRANKFURT,GERMANY,FRA,50.04056,8.55612
GUADALAJARA,MEXICO,GDL,20.52167,-103.3111
GEORGETOWN,GUYANA,GEO,6.49862,-58.25416
GUATEMALA CITY,GUATEMALA,GUA,14.58334,-90.5275
GUAYAQUIL,ECUADOR,GYE,-2.15749,-79.88361
HAVANA,CUBA,HAV,22.98917,-82.40916
HOLGUIN,CUBA,HOG,20.78556,-76.315
HOUSTON,UNITED STATES OF AMERICA,HOU,29.64556,-95.27888
ISTANBUL,TURKIYE,IST,41.26028,28.74195
KINGSTON,JAMAICA,KIN,17.93556,-76.7875
LAS VEGAS,UNITED STATES OF AMERICA,LAS,36.08001,-115.1522
LOS ANGELES,UNITED STATES OF AMERICA,LAX,33.9425,-118.4081
LIMA,PERU,LIM,-12.02194,-77.11444
GUANACASTE,COSTA RICA,LIR,10.59334,-85.54444
MADRID,SPAIN,MAD,40.49195,-3.56944
MANAUS,BRAZIL,MAO,-3.03861,-60.04972
MARACAIBO,VENEZUELA,MAR,10.55834,-71.72777
MONTEGO BAY,JAMAICA,MBJ,18.50362,-77.91333
MEDELLIN,COLOMBIA,MDE,6.16445,-75.42305
MENDOZA,ARGENTINA,MDZ,-32.83166,-68.79277
MEXICO CITY,MEXICO,MEX,19.43639,-99.07222
MANAGUA,NICARAGUA,MGA,12.14139,-86.16805
MIAMI,UNITED STATES OF AMERICA,MIA,25.79334,-80.28999
NEW ORLEANS,UNITED STATES OF AMERICA,MSY,29.99334,-90.25805
MONTERREY,MEXICO,MTY,25.77862,-100.1069
MONTEVIDEO,URUGUAY,MVD,-34.83833,-56.03083
NASSAU,BAHAMAS,NAS,25.04584,-77.46611
NEW YORK,UNITED STATES OF AMERICA,NYC,40.71417,-74.00583
ORLANDO,UNITED STATES OF AMERICA,ORL,28.53,-81.35
PORT AU PRINCE,HAITI,PAP,18.58,-72.2925
PARIS,FRANCE,PAR,48.85334,2.34889
PARAMARIBO,SURINAME,PBM,5.45278,-55.18777
PEREIRA,COLOMBIA,PEI,4.81278,-75.73944
PORTO ALEGRE,BRAZIL,POA,-29.99444,-51.17138
PORT OF SPAIN,TRINIDAD AND TOBAGO,POS,10.59528,-61.33722
PUNTA CANA,DOMINICAN REPUBLIC,PUJ,18.5675,-68.36333
PUERTO VALLARTA,MEXICO,PVR,20.68,-105.2542
RECIFE,BRAZIL,REC,-8.12666,-34.92305
RIO DE JANEIRO,BRAZIL,RIO,-22.90277,-43.2075
ROSARIO,ARGENTINA,ROS,-32.90361,-60.785
SAN SALVADOR,EL SALVADOR,SAL,13.44084,-89.05583
SAO PAULO,BRAZIL,SAO,-23.5475,-46.63611
SAN PEDRO SULA,HONDURAS,SAP,15.45278,-87.92361
SANTIAGO,CHILE,SCL,-33.39305,-70.78583
SANTO DOMINGO,DOMINICAN REPUBLIC,SDQ,18.42973,-69.66888
SAN FRANCISCO,UNITED STATES OF AMERICA,SFO,37.61889,-122.375
SAN JOSE,COSTA RICA,SJO,9.99389,-84.20888
SAN JUAN,PUERTO RICO,SJU,18.43945,-66.00194
SALTA,ARGENTINA,SLA,-24.85611,-65.48611
SANTA CLARA,CUBA,SNU,22.49195,-79.94388
SANTA CRUZ,BOLIVIA,SRZ,-17.81166,-63.17138
SALVADOR,BRAZIL,SSA,-12.91111,-38.33111
SANTIAGO,DOMINICAN REPUBLIC,STI,19.40612,-70.60472
ST MAARTEN,SINT MAARTEN,SXM,18.04084,-63.10888
TEGUCIGALPA,HONDURAS,TGU,14.06084,-87.21722
TAMPA,UNITED STATES OF AMERICA,TPA,27.97556,-82.53333
QUITO,ECUADOR,UIO,-0.11944,-78.35527
VALENCIA,VENEZUELA,VLN,10.14973,-67.92944
WASHINGTON,UNITED STATES OF AMERICA,WAS,38.895,-77.03638
MONTREAL,CANADA,YMQ,45.50889,-73.58777
TORONTO,CANADA,YTO,43.7,-79.41638
